Activity,Calories_130_lbs,Calories_155_lbs,Calories_190_lbs
"Horseback riding, trotting",384,457,561
"Horseback riding, walking",148,176,216
"Hunting, general",295,352,431
Jai alai,708,844,1035
"Jogging, general",413,493,604
"Judo, karate, kick boxing, tae kwan do",590,704,863
Kayaking,295,352,431
Kickball,413,493,604
Lacrosse,472,563,690
"Marching band, playing instrument(walking)",236,281,345
"Marching, rapidly, military",384,457,561
Moto-cross,236,281,345
"Moving furniture, household",354,422,518
"Moving household items, boxes, upstairs",531,633,776
"Moving household items, carrying boxes",413,493,604
"Mowing lawn, general",325,387,474
"Mowing lawn, riding mower",148,176,216
"Music playing, cello, flute, horn, woodwind",118,141,173
"Music playing, drums",236,281,345
"Music playing, guitar, classical, folk(sitting)",118,141,173
"Music playing, guitar, rock/roll band(standing)",177,211,259
"Music playing, piano, organ, violin, trumpet",148,176,216
Paddleboat,236,281,345
"Painting, papering, plastering, scraping",266,317,388
Polo,472,563,690
Pushing or pulling stroller with child,148,176,216
Race walking,384,457,561
"Racquetball, casual, general",413,493,604
"Racquetball, competitive",590,704,863
Raking lawn,236,281,345
"Rock climbing, ascending rock",649,774,949
"Rock climbing, rapelling",472,563,690
"Rope jumping, fast",708,844,1035
"Rope jumping, moderate, general",590,704,863
"Rope jumping, slow",472,563,690
"Rowing, stationary, light effort",561,669,819
"Rowing, stationary, moderate effort",413,493,604
"Rowing, stationary, very vigorous effort",708,844,1035
"Rowing, stationary, vigorous effort",502,598,733
Rugby,590,704,863
"Running, 10 mph (6 min mile)",944,1126,1380
"Running, 10.9 mph (5.5 min mile)",1062,1267,1553
"Running, 5 mph (12 min mile)",472,563,690
"Running, 5.2 mph (11.5 min mile)",531,633,776
"Running, 6 mph (10 min mile)",590,704,863
"Running, 6.7 mph (9 min mile)",649,774,949
"Running, 7 mph (8.5 min mile)",679,809,992
"Running, 7.5mph (8 min mile)",738,880,1078
"Running, 8 mph (7.5 min mile)",797,950,1165
"Running, 8.6 mph (7 min mile)",826,985,1208
"Running, 9 mph (6.5 min mile)",885,1056,1294
"Running, cross country",531,633,776
"Running, general",472,563,690
"Running, in place",472,563,690
"Running, on a track, team practice",590,704,863
"Running, stairs, up",885,1056,1294
"Running, training, pushing wheelchair",472,563,690
"Running, wheeling, general",177,211,259
"Sailing, boat/board, windsurfing, general",177,211,259
"Sailing, in competition",295,352,431
"Scrubbing floors, on hands and knees",325,387,474
"Shoveling snow, by hand",354,422,518
"Shuffleboard, lawn bowling",177,211,259
Sitting-playing with children-light,148,176,216
Skateboarding,295,352,431
"Skating, ice, 9 mph or less",325,387,474
"Skating, ice, general",413,493,604
"Skating, ice, rapidly, > 9 mph",531,633,776
"Skating, ice, speed, competitive",885,1056,1294
"Skating, roller",413,493,604
Ski jumping (climb up carrying skis),413,493,604
"Ski machine, general",561,669,819
"Ski-mobiling, water",413,493,604
"Skiing, cross-country, >8.0 mph, racing",826,985,1208
"Skiing, cross-country, moderate effort",472,563,690
"Skiing, cross-country, slow or light effort",413,493,604
"Skiing, cross-country, uphill, maximum effort",974,1161,1423
"Skiing, cross-country, vigorous effort",531,633,776
"Skiing, downhill, light effort",295,352,431
"Skiing, downhill, moderate effort",354,422,518
"Skiing, downhill, vigorous effort, racing",472,563,690
"Skiing, snow, general",413,493,604
"Skiing, water",354,422,518
"Skin diving, scuba diving, general",413,493,604
"Sledding, tobogganing , bobsledding, luge",413,493,604
Snorkeling,295,352,431
Snow shoeing,472,563,690
Snowmobiling,207,246,302
"Soccer, casual, general",413,493,604
"Soccer, competitive",590,704,863
"Softball or baseball, fast or slow pitch",295,352,431
"Softball, officiating",354,422,518
Squash,708,844,1035
"Stair-treadmill ergometer, general",354,422,518
Standing-packing/unpacking boxes,207,246,302
"Stretching, hatha yoga",236,281,345
"Surfing, body or board",177,211,259
"Sweeping garage, sidewalk",236,281,345
"Swimming laps, freestyle, fast, vigorous effort",590,704,863
"Swimming laps, freestyle, light/moderate effort",472,563,690
"Swimming, backstroke, general",472,563,690
"Swimming, breaststroke, general",590,704,863
"Swimming, butterfly, general",649,774,949
"Swimming, leisurely, general",354,422,518
"Swimming, sidestroke, general",472,563,690
"Swimming, sychronized",472,563,690
"Swimming, treading water, fast/vigorous",590,704,863
"Swimming, treading water, moderate effort",236,281,345
"Table tennis, ping pong",236,281,345
Tai chi,236,281,345
Teaching aerobics class,354,422,518
"Tennis, doubles",354,422,518
"Tennis, general",413,493,604
"Tennis, singles",472,563,690
Unicycling,295,352,431
"Volleyball, beach",472,563,690
"Volleyball, competitive, in gymnasium",236,281,345
"Volleyball, noncompetitive; 6-9 member team",177,211,259
Walk/run-playing with children-moderate,236,281,345
Walk/run-playing with children-vigorous,295,352,431
"Walking, 2.0 mph, slow pace",148,176,216
"Walking, 3.0 mph, mo d. pace, walking dog",207,246,302
"Walking, 3.5 mph, uphill",354,422,518
"Walking, 4.0 mph, very brisk pace",236,281,345
"Walking, carrying infant or 15-lb load",207,246,302
"Walking, grass track",295,352,431
"Walking, upstairs",472,563,690
"Walking, using crutches",236,281,345
"Wallyball, general",413,493,604
"Water aerobics, water calisthenics",236,281,345
Water polo,590,704,863
Water volleyball,177,211,259
"Weight lifting or body building, vigorous effort",354,422,518
"Weight lifting, light or moderate effort",177,211,259
"Whitewater rafting, kayaking, or canoeing",295,352,431
